Date,Weight,Nutrition,Exercise,Sleep,Hygiene,Food,source_file,source_sheet
2025-08-10,129.2,Electrolyte Drink,100 Bicep Curls,,,,C:\Users\anbal\Downloads\jinwu\Health.xlsx,Health
,,Cod Liver Oil,100 Shoulder Press,,,,C:\Users\anbal\Downloads\jinwu\Health.xlsx,Health
,,Black Coffee,100 Kettle Swings,,,,C:\Users\anbal\Downloads\jinwu\Health.xlsx,Health
,,15 Almonds,,,,,C:\Users\anbal\Downloads\jinwu\Health.xlsx,Health
2025-08-10,,,,,,,C:\Users\anbal\Downloads\jinwu\Hobby.xlsx,PC Gaming
2025-08-25,131,Black Coffee,100 Bicep Curls,08:30:00,Brush,,C:\Users\anbal\Downloads\kalpass\Health.xlsx,Health
,,2 Electrolyte Drink,100 Shoulder Press,,Bath,,C:\Users\anbal\Downloads\kalpass\Health.xlsx,Health
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\kalpass\Health.xlsx,Health
,,20 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\kalpass\Health.xlsx,Health
,,Bistro Salad,100 Kettle Twists,,,,C:\Users\anbal\Downloads\kalpass\Health.xlsx,Health
,,Chicken Legs,20 Kettle Swings,,,,C:\Users\anbal\Downloads\kalpass\Health.xlsx,Health
,,7 up zero,,,,,C:\Users\anbal\Downloads\kalpass\Health.xlsx,Health
2025-08-25,,,,,,,C:\Users\anbal\Downloads\kalpass\Relationship.xlsx,Relationship
,,,,,,,C:\Users\anbal\Downloads\kalpass\Relationship.xlsx,Relationship
2025-08-25,,,,,,,C:\Users\anbal\Downloads\kalpass\Wealth.xlsx,Expenditure
2025-10-09,128.6,3 Electrolyte Drink,60 Bicep Curls,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health
,,2 Black Coffee,60 Shoulder Press,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health
,,80 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health
,,Spinach,60 Kettle Twists,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health
,,Chicken Gravy,60 Kettle Swings,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health
,,,10200 steps,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health
2025-10-10,127.4,Electrolyte Drink,60 Bicep Curls,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health
,,Black Coffee,60 Shoulder Press,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health
,,35 Almonds,40 Single Arm Row,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health
,,Spinach,,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health
,,Chicken Gravy,,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health
2025-08-03,129.8,4L water,,,,,C:\Users\anbal\Downloads\LOSER\Health.xlsx,Health
2025-08-22,129.2,2 Black Coffee,100 Bicep Curls,,,,C:\Users\anbal\Downloads\mathematics\Health.xlsx,Health
,,2 Electrolyte Drink,100 Shoulder Press,,,,C:\Users\anbal\Downloads\mathematics\Health.xlsx,Health
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\mathematics\Health.xlsx,Health
,,20 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\mathematics\Health.xlsx,Health
,,Spinach,100 Kettle Twists,,,,C:\Users\anbal\Downloads\mathematics\Health.xlsx,Health
,,Chicken Gravy,60 Kettle Swings,,,,C:\Users\anbal\Downloads\mathematics\Health.xlsx,Health
,,,10200 steps,,,,C:\Users\anbal\Downloads\mathematics\Health.xlsx,Health
2025-08-22,,,,,,,C:\Users\anbal\Downloads\mathematics\Hobby.xlsx,PC Gaming
2025-08-01,131,Electrolyte Drink,100 Bicep Curls,07:00:00,,,C:\Users\anbal\Downloads\NAVY HERON\Health.xlsx,Sheet1
,,Black Coffee,100 Single Arm Row,,,,C:\Users\anbal\Downloads\NAVY HERON\Health.xlsx,Sheet1
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\NAVY HERON\Health.xlsx,Sheet1
,,Spinach,60 Single Arm Row,,,,C:\Users\anbal\Downloads\NAVY HERON\Health.xlsx,Sheet1
,,20 Almonds,100 Kettle Twists,,,,C:\Users\anbal\Downloads\NAVY HERON\Health.xlsx,Sheet1
2025-07-22,,,,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Career.xlsx,Career
,,,,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Career.xlsx,Career
2025-07-22,130,2 Black Coffee,100 Bicep Curls,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health
,,2 Electrolyte Drink,100 Shoulder Press,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health
,,20 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health
,,380 Pumpkin seed,60 Kettle Twists,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health
,,Bistro Salad,60 Kettle Swings,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health
,,Chicken Gravy,10000 steps,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health
,,Vitamin Drink,,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health
2025-07-23,131.2,Black Coffeee,100 Bicep Curls,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health
,,2 Electrolyte Drink,100 Shoulder Press,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health
,,Cod Liver Oil,60 Shoulder Press,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health
,,30 Almonds,60 Lateral Raises,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health
,,70 Pumpkin seeds,60 Kettle Twists,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health
,,Chicken Gravy,60 Kettle Swings,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health
,,,13100 steps,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health
,,,100 Bicep Curls,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health
,,,100 Shoulder Press,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health
,,,60 Lateral Raises,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health
2025-07-22,,,,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Hobby.xlsx,Manga
2025-07-23,,,,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Hobby.xlsx,Manga
2025-07-22,,,,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Relationship.xlsx,Relationship
2025-07-22,,,,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Relationship.xlsx,Relationship
2025-07-22,,,,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Wealth.xlsx,Expenditure
,,,,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Wealth.xlsx,Expenditure
,,,,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Wealth.xlsx,Expenditure
2025-08-07,,Keto Crunch,100 Bicep Curls,,,,C:\Users\anbal\Downloads\paradise lost\Health.xlsx,Health
,,Keto Crunch,60 Shoulder Press,,,,C:\Users\anbal\Downloads\paradise lost\Health.xlsx,Health
,,Mas+ Drink,3530 steps,,,,C:\Users\anbal\Downloads\paradise lost\Health.xlsx,Health
2025-08-07,,,,,,,C:\Users\anbal\Downloads\paradise lost\Hobby.xlsx,PC Gaming
2025-08-07,,,,,,,C:\Users\anbal\Downloads\paradise lost\Wealth.xlsx,Expenditure
2025-08-07,,,,,,,C:\Users\anbal\Downloads\paradise lost\Wealth.xlsx,Expenditure
,,,,,,,C:\Users\anbal\Downloads\paradise lost\Wealth.xlsx,Expenditure
,,,,,,,C:\Users\anbal\Downloads\paradise lost\Wealth.xlsx,Expenditure
,,,,,,,C:\Users\anbal\Downloads\paradise lost\Wealth.xlsx,Expenditure
,,,,,,,C:\Users\anbal\Downloads\paradise lost\Wealth.xlsx,Expenditure
,,,,,,,C:\Users\anbal\Downloads\paradise lost\Wealth.xlsx,Expenditure
2025-10-05,129.4,Black Coffee,60 Bicep Curls,09:00:00,,,C:\Users\anbal\Downloads\PATHETIC ADHD LOOSER DIE DIE DIE NO SELF CONTROL FREE WILL IS LIE\Health.xlsx,Health
,,Electrolyte Drink,60 Shoulder Press,,,,C:\Users\anbal\Downloads\PATHETIC ADHD LOOSER DIE DIE DIE NO SELF CONTROL FREE WILL IS LIE\Health.xlsx,Health
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\PATHETIC ADHD LOOSER DIE DIE DIE NO SELF CONTROL FREE WILL IS LIE\Health.xlsx,Health
,,20 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\PATHETIC ADHD LOOSER DIE DIE DIE NO SELF CONTROL FREE WILL IS LIE\Health.xlsx,Health
,,Spinach,60 Kettle Twists,,,,C:\Users\anbal\Downloads\PATHETIC ADHD LOOSER DIE DIE DIE NO SELF CONTROL FREE WILL IS LIE\Health.xlsx,Health
,,Sindhi Chicken Biryani,60 Kettle Swings,,,,C:\Users\anbal\Downloads\PATHETIC ADHD LOOSER DIE DIE DIE NO SELF CONTROL FREE WILL IS LIE\Health.xlsx,Health
2025-10-01,127.2,Electrolyte Drink,60 Bicep Curls,,,,C:\Users\anbal\Downloads\preserve\Health.xlsx,Health
,,Cod Liver Oil,60 Shoulder Press,,,,C:\Users\anbal\Downloads\preserve\Health.xlsx,Health
,,Black Coffee,60 Lateral Raises,,,,C:\Users\anbal\Downloads\preserve\Health.xlsx,Health
,,20 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\preserve\Health.xlsx,Health
,,,60 Kettle Twists,,,,C:\Users\anbal\Downloads\preserve\Health.xlsx,Health
,,,60 Kettle Swings,,,,C:\Users\anbal\Downloads\preserve\Health.xlsx,Health
2025-10-01,,,,,,,C:\Users\anbal\Downloads\preserve\Hobby.xlsx,Anime
,,,,,,,C:\Users\anbal\Downloads\preserve\Hobby.xlsx,Anime
2025-10-01,,,,,,,C:\Users\anbal\Downloads\preserve\Relationship.xlsx,Relationship
2025-10-01,,,,,,,C:\Users\anbal\Downloads\preserve\Wealth.xlsx,Expenditure
,,,,,,,C:\Users\anbal\Downloads\preserve\Wealth.xlsx,Expenditure
2025-06-27,137,,60 Bicep Curls,06:00:00,Arranged room,Black Coffee,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine
,,,60 Shoulder Press,23:00:00,Brush,2 Electrolyte Drink,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine
,,,60 Lateral Raises,,Bath,Cod Liver Oil,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine
,,,60 Single Arm Row,,,8l water,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine
,,,60 Kettle Twists,,,20 Almonds,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine
,,,60 Kettle Swings,,,Spinach,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine
,,,10000 steps,,,Club Tropical,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine
,,,,,,Pollo Picado Pizza,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine
,,,,,,Chocolate cake,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine
,,,,,,Honey Cashews,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine
,,,,,,Chicken Gravy,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine
2025-06-28,137,,60 Bicep Curls,06:00:00,Arranged room,Black Coffee,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine
,,,60 Shoulder Press,,Brush,Electrolyte Drink,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine
,,,60 Lateral Raises,,Bath,Cod Liver Oil,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine
,,,60 Single Arm Row,,,20 Almonds,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine
,,,60 Kettle Twists,,,50 Pumpkin seed,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine
,,,10000 steps,,,Spinach,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine
,,,,,,Chicken Gravy,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine
,,,,,,8l water,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine
2025-10-31,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Dopamine.xlsx,Dopamine
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Dopamine.xlsx,Dopamine
2025-10-31,128.2,2 Electrolyte Drink,60 Bicep Curls,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Health.xlsx,Health
,,2 Black Coffee,60 Shoulder Press,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Health.xlsx,Health
,,Cod Liver Oil,40 Lateral Raises,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Health.xlsx,Health
,,60 Almonds,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Health.xlsx,Health
,,Spinach,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Health.xlsx,Health
,,Chicken Biryani,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Health.xlsx,Health
2025-05-30,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Mental Health.xlsx,Meditation
2025-05-31,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Mental Health.xlsx,Meditation
2025-06-01,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Mental Health.xlsx,Meditation
2025-06-04,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Mental Health.xlsx,Meditation
2025-06-07,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Mental Health.xlsx,Meditation
2025-05-03,158,Black Coffee,60 Bicep Curls,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
,,2 Electrolyte Drink,60 Shoulder Press,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
,,Cod Liver Oil,60 Single Arm Row,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
,,15 Almonds,60 Lateral Raises,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
,,5 Olives,60 Kettle Twists,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
,,3 Eggs,60 Kettle Swings,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
,,Chicken Gravy,10000 steps,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
,,Mango,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
,,Spinach and Rocket Leaves,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
,,Protein Coffee,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-05-04,153.4,Black Coffee,60 Bicep Curls,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
